Filament Name,Material,Product Link,Color,Color Link,Color Hex
"ASA Filament 2.85mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-750g","Black","https://www.pushplastic.com/products/asa-filament-2-85mm-750g?variant=44429689979041","#1C1C1C"
"ASA Filament 2.85mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-750g","Dark Grey","https://www.pushplastic.com/products/asa-filament-2-85mm-750g?variant=44519978074273","#606164"
"ASA Filament 2.85mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-750g","Natural","https://www.pushplastic.com/products/asa-filament-2-85mm-750g?variant=44429690011809","#F5F5DC"
"ASA Filament 2.85mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-750g","Silver Metallic","https://www.pushplastic.com/products/asa-filament-2-85mm-750g?variant=44429690044577","#97979B"
"ASA Filament 2.85mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-750g","White","https://www.pushplastic.com/products/asa-filament-2-85mm-750g?variant=44429690077345","#EFEBE9"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Black","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44429689651361","#1C1C1C"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Green","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44489492103329","#228B22"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Light Grey","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44889510052001","#B6B4B2"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Natural","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44429689684129","#F5F5DC"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Silver Metallic","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44429689716897","#97979B"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","Ultra Blue","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44889510084769","#0047AB"
"ASA Filament 1.75mm 750g","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-750g","White","https://www.pushplastic.com/products/asa-filament-1-75mm-750g?variant=44429689749665","#EFEBE9"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Army Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187349665","#4B5320"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Black","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187382433","#1C1C1C"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Dark Grey","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187415201","#606164"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Desert Tan","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187447969","#EAD1AF"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Electric Blue","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187480737","#0066CC"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Flat Dark Earth","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187513505",""
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Fatigue Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187546273","#228B22"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187579041","#228B22"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Light Grey","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187611809","#B6B4B2"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Lime Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187644577","#228B22"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Light Teal","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187677345",""
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Natural","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187710113","#F5F5DC"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Navy Blue","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187742881","#0066CC"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Ocean Blue","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187775649","#0066CC"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Orange","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187808417","#FF6B35"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","PUSCH Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187841185","#228B22"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Pink","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187873953","#FF69B4"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Purple","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187906721","#800080"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","PWalt Yellow","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187939489","#FFD700"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Red","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287187972257","#C41E3A"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Rust","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188005025",""
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Silver Metallic","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188037793","#97979B"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Safety Yellow","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188070561","#FFD700"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Translucent Amber","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188103329","#E0E0E0"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Translucent Blue","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188136097","#0066CC"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Translucent Green","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188168865","#228B22"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Translucent Red","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188201633","#C41E3A"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","Ultra Blue","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188234401","#0047AB"
"PCTG Filament 1.75mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg","White","https://www.pushplastic.com/products/pctg-filament-1-75mm-5kg?variant=45287188267169","#EFEBE9"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Army Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287191969953","#4B5320"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Black","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192002721","#1C1C1C"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Dark Grey","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192035489","#606164"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Desert Tan","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192068257","#EAD1AF"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Electric Blue","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192101025","#0066CC"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Flat Dark Earth","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192133793",""
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Fatigue Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192166561","#228B22"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192199329","#228B22"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Light Grey","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192232097","#B6B4B2"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Lime Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192264865","#228B22"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Light Teal","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192297633",""
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Natural","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192330401","#F5F5DC"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Navy Blue","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192363169","#0066CC"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Ocean Blue","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192395937","#0066CC"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Orange","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192428705","#FF6B35"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","PUSCH Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192461473","#228B22"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Pink","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192494241","#FF69B4"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Purple","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192527009","#800080"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","PWalt Yellow","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192559777","#FFD700"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Red","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192592545","#C41E3A"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Rust","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192625313",""
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Silver Metallic","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192658081","#97979B"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Safety Yellow","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192690849","#FFD700"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Translucent Amber","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192723617","#E0E0E0"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Translucent Blue","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192756385","#0066CC"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Translucent Green","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192789153","#228B22"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Translucent Red","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192821921","#C41E3A"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","Ultra Blue","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192854689","#0047AB"
"PCTG Filament 2.85mm 5kg","PCTG","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg","White","https://www.pushplastic.com/products/pctg-filament-2-85mm-5kg?variant=45287192887457","#EFEBE9"
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PLA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538429601",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PLA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538462369",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PETG","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538495137",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PETG","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538527905",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","ABS","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538560673",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","ABS","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538593441",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","ASA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538626209",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","ASA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538658977",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","High Heat+Tough PLA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538691745",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","High Heat+Tough PLA","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538724513",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PC+PBT","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538757281",""
"Factory Seconds 1.75mm Filament","Other","https://www.pushplastic.com/products/factory-seconds-filament","PC+PBT","https://www.pushplastic.com/products/factory-seconds-filament?variant=45164538790049",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284388001",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284420769",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284453537",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284486305",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284519073",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284551841",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284584609",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284617377",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284650145",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284682913",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284715681",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284748449",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284781217",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PLA","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284813985",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284846753",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284879521",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284912289",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284945057",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103284977825",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285010593",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285043361",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285076129",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285108897",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285141665",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285174433",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285207201",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285239969",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","PETG","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285272737",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285305505",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285338273",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285371041",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285403809",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285436577",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285469345",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285502113",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285534881",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285567649",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285600417",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285633185",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285665953",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285698721",""
"3KG Case (8 x 3KG REELS)","Other","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy","ABS","https://www.pushplastic.com/products/1kg-case-20-x-1kg-reels-copy?variant=45103285731489",""
"ASA Filament 2.85mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg","Black","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg?variant=44927482626209","#1C1C1C"
"ASA Filament 2.85mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg","Dark Grey","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg?variant=44927482658977","#606164"
"ASA Filament 2.85mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg","Natural","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg?variant=44927482691745","#F5F5DC"
"ASA Filament 2.85mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg","Silver Metallic","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg?variant=44927482724513","#97979B"
"ASA Filament 2.85mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg","White","https://www.pushplastic.com/products/asa-filament-2-85mm-1kg?variant=44927482757281","#EFEBE9"
"ASA Filament 1.75mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg","Black","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg?variant=44927481577633","#1C1C1C"
"ASA Filament 1.75mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg","Black","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg?variant=45103872671905","#1C1C1C"
"ASA Filament 1.75mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg","Green","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg?variant=44927481610401","#228B22"
"ASA Filament 1.75mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg","Green","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg?variant=45103872704673","#228B22"
"ASA Filament 1.75mm 1kg","ASA","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg","Light Grey","https://www.pushplastic.com/products/asa-filament-1-75mm-1kg?variant=44927481643169","#B6B4B2"
